date,ffpi_food,ffpi_meat,ffpi_dairy,ffpi_cereals,ffpi_oils,ffpi_sugar,year,month_num
1998-08-01,62.57712128164252,64.79008982229504,55.4413657356583,54.08296665348302,83.17112306494067,52.47915636980554,1998,8
1998-09-01,62.08179358140211,65.07497617277045,53.86781375793534,53.90169841579477,84.55680359537064,44.73780568746716,1998,9
1998-10-01,62.879093518975374,64.6646970002951,52.13704922035313,57.687336375511705,84.44213186302146,46.18368295880504,1998,10
1998-11-01,62.77057659887438,63.19311692869144,52.13704922035313,58.17810809043861,84.30876499621806,49.88879369858702,1998,11
1998-12-01,62.227373470850665,63.76470208141157,52.317200123821735,56.83805601300002,82.03809334778447,49.98403352996753,1998,12
1999-01-01,61.20129518595125,62.72520613725608,52.40149805121116,57.123999778430104,77.30714393165066,50.18938185838713,1999,1
1999-02-01,58.57322465891083,63.27576087218103,51.523510123706956,54.91235759582142,68.40423852377222,42.206113967225676,1999,2
1999-03-01,57.19383020448313,63.356975786526725,50.74137517228196,55.1538767072237,62.30984722180103,37.255250158753455,1999,3
1999-04-01,56.00207454471145,61.69962120515135,48.00167691973497,53.69632829901704,64.88345735620061,33.54210230239929,1999,4
1999-05-01,55.552211488252496,62.243717790671305,47.35754390808387,52.839746274629604,62.25704950483363,35.58433362339408,1999,5
1999-06-01,54.76283834808469,62.6661535717047,47.12368899223078,53.611085502162894,54.79113444950359,37.34245287356178,1999,6
1999-07-01,52.7961960473755,62.942687341084195,46.36346530002032,51.40200516367997,48.63125268901959,33.28893313037515,1999,7
1999-08-01,54.62776218753629,64.75853804931357,46.40561426371502,52.950762823495474,52.294121028220445,35.58433362339408,1999,8
1999-09-01,54.83042298196589,63.37017869671001,46.81962008303671,52.63199032887539,54.07108129402196,41.27782700313713,1999,9
1999-10-01,53.498529098899894,60.73565249436856,46.95762202281066,51.48057137561954,52.96411644208832,41.89668497919616,1999,10
1999-11-01,53.498372158084415,61.8415623133374,47.54805102207723,51.2767605040074,51.31824211447802,40.22576844383679,1999,11
1999-12-01,52.082612583283776,59.535409552733185,48.499381247363516,50.37077841259204,49.49210255757037,37.19336436114755,1999,12
2000-01-01,52.845173648570444,60.577880395578596,50.15485374851653,52.13167018523873,48.58311157138202,34.72972022788398,2000,1
2000-02-01,52.500843503297375,60.862336858956354,50.44046293810706,52.23907341562147,46.36835287251982,32.73758693352256,2000,2
2000-03-01,53.11600405452707,62.784347330929904,50.05705103379025,51.72821243411178,47.81903063994389,31.80929996943401,2000,3
2000-04-01,53.700021758695215,62.3078158219633,50.413625117203736,51.82244957101251,49.49869065471645,37.255250158753455,2000,4
2000-05-01,53.96677357945541,63.34918558843199,50.92741176047654,52.835989981268156,44.48930927103283,42.763086145678805,2000,5
2000-06-01,54.23104385670125,63.034065884583455,53.75683758924897,51.42594992756182,42.92895391354603,51.798412596140594,2000,6
2000-07-01,54.43372604682659,62.74886608764429,55.57520011243208,49.813215654442075,42.66755150050627,59.59602309448435,2000,7
2000-08-01,53.51500142678594,60.25082357013729,56.042909944138295,48.616170467998344,41.70184362719442,64.60877270056247,2000,8
2000-09-01,52.931233627432164,59.41597164492868,57.408845407828835,49.381142488027834,38.470354262343676,62.071454998720455,2000,9
2000-10-01,53.69020212699341,59.50091417545786,59.10841661132365,51.201801630919604,36.37718942018462,66.52160644474486,2000,10
2000-11-01,54.16648548412019,60.350940680533796,59.599678391010556,52.12553038248716,37.67309154836324,61.45259702266143,2000,11
2000-12-01,54.80254261969816,60.361419949553294,60.09094017069738,53.67087963085144,38.13921322691652,62.00956920111456,2000,12
2001-01-01,54.13272441714381,58.31739639848867,59.742021658679576,53.91884059468737,37.274266256711165,63.8858340648934,2001,1
2001-02-01,54.616402173825776,62.0054900239554,59.46601777913178,52.99071573773322,35.8276831002984,61.099847976307785,2001,2
2001-03-01,55.50494587504261,64.89857344653353,59.67423371224652,52.16644139807416,38.203137864047235,57.39063830707397,2001,3
2001-04-01,55.003261628729874,65.26328999037257,59.50172419488467,50.99283925783338,38.03313854434972,54.11913000636195,2001,4
2001-05-01,55.782255727923875,65.57838824208847,61.95820484708948,51.70635307170043,36.5661328568602,59.31191102365726,2001,5
2001-06-01,55.20930694807057,63.827837385682784,62.38971792291726,51.03778815718354,38.847211764619836,55.95949574945177,2001,6
2001-07-01,56.908034856799084,64.13021787309957,62.944028464674815,51.7197974160316,47.43649449571169,54.42293301279094,2001,7
2001-08-01,57.01908443642887,64.36703026103685,62.53002264535313,51.572900726778485,50.021046802095604,50.21090735320654,2001,8
2001-09-01,55.82566809820675,64.28262841866376,62.050796777427955,51.158919651981186,45.39620168769992,47.2807493709097,2001,9
2001-10-01,54.531322316359564,62.36136507108671,62.84853364000084,51.007159590639766,43.29500851107189,42.02583794811282,2001,10
2001-11-01,55.10927632978841,60.6471889793821,60.60162784103626,51.867639897607326,48.269459051830374,47.48806679288948,2001,11
2001-12-01,54.60283035688623,59.18757772406908,56.909407402151295,52.005476561370386,50.607810276958766,48.45657952542186,2001,12
2002-01-01,53.777642441829585,59.395578548081666,52.99527414456898,51.65543410156753,49.26091578002172,48.18251385031003,2002,1
2002-02-01,51.99864625338382,57.607537003698624,52.83530809872022,50.36964037532734,47.785574874425244,40.507692632930315,2002,2
2002-03-01,52.34142960905143,60.070553553664666,50.71392085928784,49.61017820974843,47.62177337296735,41.44801294655336,2002,3
2002-04-01,51.35145361807785,57.2055027858024,48.8949097569593,49.30965581057128,48.968649895697936,42.61118464246428,2002,4
2002-05-01,50.80400225377922,56.23346887333943,44.77823662294476,50.22782336018547,51.64109982925055,37.57544189419268,2002,5
2002-06-01,51.62414989662321,56.28241637151075,42.85506727986751,52.030442969249094,55.80374754624625,35.58433362339408,2002,6
2002-07-01,52.26505323615588,55.8832404581376,40.641677627050235,54.62011509448946,56.147913609909104,39.526189862204845,2002,7
2002-08-01,53.70528469297119,55.83074054138092,40.08100889429004,58.05905521490676,59.64718946011253,38.954296602115484,2002,8
2002-09-01,55.14002894276093,55.09596200020318,41.63677343274206,63.82139354595718,56.67703316163747,43.072515133708315,2002,9
2002-10-01,55.518878440972316,53.46151390001395,42.92780109770366,64.35449444073893,58.76026061161087,46.47623400203297,2002,10
2002-11-01,56.64144819957462,53.90564660634452,45.535200371926734,63.006727326650434,63.905676495369434,48.45657952542186,2002,11
2002-12-01,56.024358978454366,52.25563924625741,49.29102025942554,59.84016440100825,65.51216867374534,49.199209096692684,2002,12
2003-01-01,56.239031656190804,53.94665471346037,51.256353660758165,58.00011833518108,64.32321520084045,50.68446823923435,2003,1
2003-02-01,56.86278019136335,55.10130603499476,53.094968153848335,57.84258646222766,62.353116994972446,55.69721784531247,2003,2
2003-03-01,55.91947088233033,55.73819513538559,53.708718155607606,56.51207984707581,59.234135104999154,50.93201142965796,2003,3
2003-04-01,55.92906635444101,56.749018321387226,52.65788058740168,56.42583185060003,59.56691650969375,47.96149314457463,2003,4
2003-05-01,56.6689891688585,57.44008135058628,52.634501573274406,58.20091145797616,61.09159936819294,44.37211688343227,2003,5
2003-06-01,56.418776012106015,57.31412877541071,52.59703569838815,57.68224676609067,61.955421665803556,41.58725599116665,2003,6
